"UMI_cellID","UMI_transID","target","x","y","z","tLLR_maxCellType","score_tLLR_maxCellType","SVM_class","transComp"
"c_1_51_238",494920,"PCMT1",6402.50897800954,-4998.88593445937,0.8,"Acinar.1",-0.867007718797272,1,"intraC"
"c_1_51_238",494921,"PRSS1",6403.11026494193,-4998.88593445937,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",494922,"PRSS1",6403.35058898151,-4998.88593445937,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",494923,"PRSS1",6399.50206651421,-4998.76577243958,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494924,"PRSS3",6399.8625525736,-4998.76577243958,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494925,"MMADHC",6400.22351546639,-4998.76577243958,3.2,"Acinar.1",-0.43142849116116,1,"intraC"
"c_1_51_238",494926,"PEBP1",6401.54672818436,-4998.76577243958,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494927,"EEF1G",6402.86946406892,-4998.76577243958,5.6,"Acinar.1",-0.287537201374896,1,"intraC"
"c_1_51_238",494928,"RANGRF",6399.14110362142,-4998.64513358638,5.6,"Acinar.1",-0.084483531283789,1,"intraC"
"c_1_51_238",494929,"UNC45B",6399.38142766101,-4998.64513358638,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",494930,"CPA1",6401.18576529157,-4998.64513358638,3.2,"Acinar.1",0,1,"intraC"
"c_1_51_238",494931,"AURKA",6402.02785309695,-4998.64513358638,5.6,"Acinar.1",-1.16437090499175,1,"intraC"
"c_1_51_238",494932,"PPARA",6402.38833915633,-4998.64513358638,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",494933,"ACBD5",6402.38833915633,-4998.64513358638,1.6,"Acinar.1",-0.572070366088063,1,"intraC"
"c_1_51_238",494934,"PRSS1",6399.38142766101,-4998.52497156658,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",494935,"PLA2G1B",6399.50206651421,-4998.52497156658,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494936,"RPL12",6399.50206651421,-4998.52497156658,4,"Acinar.1",-0.471722281146865,1,"intraC"
"c_1_51_238",494937,"CPA1",6399.98319142681,-4998.52497156658,4.8,"Acinar.1",0,1,"intraC"
"c_1_51_238",494938,"SERPINA3",6399.98319142681,-4998.52497156658,5.6,"Acinar.1",-1.4690799674782,1,"intraC"
"c_1_51_238",494939,"MTSS2",6400.46431633939,-4998.52497156658,4,"Acinar.1",-0.530508372297803,1,"intraC"
"c_1_51_238",494940,"RPL37A",6400.94496441856,-4998.52497156658,4,"Acinar.1",-0.127908207541595,1,"intraC"
"c_1_51_238",494941,"RPL37A",6400.94496441856,-4998.52497156658,4.8,"Acinar.1",-0.127908207541595,1,"intraC"
"c_1_51_238",494942,"REG1A",6400.94496441856,-4998.52497156658,3.2,"Acinar.1",-0.280114121363994,1,"intraC"
"c_1_51_238",494943,"CPA1",6402.38833915633,-4998.52497156658,4,"Acinar.1",0,1,"intraC"
"c_1_51_238",494944,"SCARB2",6402.86946406892,-4998.52497156658,4,"Acinar.1",-1.18093256785746,1,"intraC"
"c_1_51_238",494945,"SCARB2",6402.86946406892,-4998.52497156658,3.2,"Acinar.1",-1.18093256785746,1,"intraC"
"c_1_51_238",494946,"CPA1",6402.99010292213,-4998.52497156658,4.8,"Acinar.1",0,1,"intraC"
"c_1_51_238",494947,"RPS10",6399.26126564122,-4998.40480954679,4,"Acinar.1",-0.137018205007391,1,"intraC"
"c_1_51_238",494948,"PRSS1",6399.38142766101,-4998.40480954679,5.6,"Acinar.1",0,1,"intraC"
"c_1_51_238",494949,"NTHL1",6401.06560327178,-4998.40480954679,5.6,"Acinar.1",-0.755189167972265,1,"intraC"
"c_1_51_238",494950,"NTHL1",6401.06560327178,-4998.40480954679,4.8,"Acinar.1",-0.755189167972265,1,"intraC"
"c_1_51_238",494951,"GANAB",6402.62914002933,-4998.40480954679,4.8,"Acinar.1",-0.692763833444957,1,"intraC"
"c_1_51_238",494952,"BHMT2",6403.23042696172,-4998.40480954679,1.6,"Acinar.1",-1.3836750563717,1,"intraC"
"c_1_51_238",494953,"SHPK",6399.02094160163,-4998.284647527,2.4,"Acinar.1",-0.941032129000391,1,"intraC"
"c_1_51_238",494954,"C4B-2",6399.62222853402,-4998.284647527,4.8,"Acinar.1",-1.23696440567562,1,"intraC"
"c_1_51_238",494955,"SEMA5B",6400.34367748619,-4998.284647527,5.6,"Acinar.1",-2.67049631406016,1,"intraC"
