Feature	Comparison	Estimate	P	FDR	sig_level
SQSTM1 / p62	No vs Yes	0.239101778528457	0.80486234624914	0.995681809340043	NS or Estimate < 0.25
c-Myc (phospho S62)	No vs Yes	0.0636820614191464	0.812288232470805	0.995681809340043	NS or Estimate < 0.25
MUC1	No vs Yes	-0.0671958340393303	0.935779044966367	0.995681809340043	NS or Estimate < 0.25
AMPK alpha 1	No vs Yes	0.175390690381125	0.510304358371017	0.995681809340043	NS or Estimate < 0.25
S100 beta	No vs Yes	0.191865185490556	0.755170860975609	0.995681809340043	NS or Estimate < 0.25
Smad2 (phospho S255)	No vs Yes	0.0754403539689876	0.842431899215958	0.995681809340043	NS or Estimate < 0.25
SIRT2	No vs Yes	0.0169175451747052	0.951574965253846	0.995681809340043	NS or Estimate < 0.25
MSH2	No vs Yes	0.0890811812243345	0.826818907975092	0.995681809340043	NS or Estimate < 0.25
MICA + MICB	No vs Yes	-0.0125166702794185	0.926843713564289	0.995681809340043	NS or Estimate < 0.25
Mucin 5AC	No vs Yes	0.00237111874155213	0.989668877784949	0.995681809340043	NS or Estimate < 0.25
STAT6	No vs Yes	0.462521033971672	0.339691063918402	0.995681809340043	NS or Estimate < 0.25
TEF1/TEAD-1	No vs Yes	0.0842164158428455	0.7328830421957	0.995681809340043	NS or Estimate < 0.25
Occludin	No vs Yes	0.13830829819856	0.473789477871025	0.995681809340043	NS or Estimate < 0.25
Wnt3a	No vs Yes	0.108843626770209	0.473501783429668	0.995681809340043	NS or Estimate < 0.25
Nectin 2	No vs Yes	0.155561755199219	0.609573347935989	0.995681809340043	NS or Estimate < 0.25
STING	No vs Yes	0.387552743896863	0.557511461901877	0.995681809340043	NS or Estimate < 0.25
STAT5a	No vs Yes	0.201654489250103	0.824711088249088	0.995681809340043	NS or Estimate < 0.25
Wilms Tumor Protein	No vs Yes	0.0850891538750897	0.599427536260607	0.995681809340043	NS or Estimate < 0.25
Topoisomerase I	No vs Yes	0.373382231469204	0.268036365754085	0.995681809340043	NS or Estimate < 0.25
SOX9	No vs Yes	0.282768595098121	0.503690909240442	0.995681809340043	NS or Estimate < 0.25
TGF beta 1	No vs Yes	-0.00937747602406938	0.960108714276681	0.995681809340043	NS or Estimate < 0.25
Rad51	No vs Yes	0.226740322426397	0.38299402844796	0.995681809340043	NS or Estimate < 0.25
RSK1 p90	No vs Yes	0.105474222828994	0.678295751839348	0.995681809340043	NS or Estimate < 0.25
TMPRSS2	No vs Yes	0.00719941175543408	0.972600435480842	0.995681809340043	NS or Estimate < 0.25
CD45	No vs Yes	0.0886662646704716	0.831450302017412	0.995681809340043	NS or Estimate < 0.25
c-Myb (phospho S11)	No vs Yes	0.108959823134429	0.810430724308603	0.995681809340043	NS or Estimate < 0.25
RUNX1 / AML1 + RUNX3 + RUNX2	No vs Yes	-0.0222180443243908	0.972915338195011	0.995681809340043	NS or Estimate < 0.25
RPS6 (phospho S240 + S244)	No vs Yes	0.348383227452781	0.544671853971736	0.995681809340043	NS or Estimate < 0.25
Ubiquitin	No vs Yes	0.0539825542012924	0.872568859322806	0.995681809340043	NS or Estimate < 0.25
STAT1	No vs Yes	0.39847956356235	0.726531520937417	0.995681809340043	NS or Estimate < 0.25
Raptor	No vs Yes	0.275247836678645	0.280381608714921	0.995681809340043	NS or Estimate < 0.25
DR5	No vs Yes	-0.0572867743079333	0.85704396184327	0.995681809340043	NS or Estimate < 0.25
MLH1	No vs Yes	0.395215616843266	0.199323377548943	0.995681809340043	NS or Estimate < 0.25
Nanog	No vs Yes	0.180051138486781	0.398314885710163	0.995681809340043	NS or Estimate < 0.25
Rho A + B + C	No vs Yes	0.34267310327797	0.224416976978788	0.995681809340043	NS or Estimate < 0.25
CD31	No vs Yes	0.487000642544647	0.124621735984204	0.995681809340043	NS or Estimate < 0.25
ROCK1	No vs Yes	0.0509340454398792	0.90991490252259	0.995681809340043	NS or Estimate < 0.25
PDGFR alpha	No vs Yes	-0.0407515367198689	0.933947050242706	0.995681809340043	NS or Estimate < 0.25
PAK1+PAK2+PAK3 (phospho S141 + S144 + S154)	No vs Yes	0.249682046599843	0.651276745055166	0.995681809340043	NS or Estimate < 0.25
PI 3 Kinase catalytic subunit alpha/PIK3CA	No vs Yes	0.614317365077977	0.14656521139894	0.995681809340043	NS or Estimate < 0.25
p63	No vs Yes	-0.368728618334573	0.268201438269114	0.995681809340043	NS or Estimate < 0.25
mTOR	No vs Yes	0.0327796289282734	0.903432673028281	0.995681809340043	NS or Estimate < 0.25
Notch1	No vs Yes	0.0509573661240362	0.844837508014258	0.995681809340043	NS or Estimate < 0.25
beta Tubulin	No vs Yes	0.0597742917298563	0.917857562865462	0.995681809340043	NS or Estimate < 0.25
PI 3 Kinase p85 beta	No vs Yes	0.176260886346527	0.435818202178463	0.995681809340043	NS or Estimate < 0.25
Osteopontin	No vs Yes	-0.358884295020898	0.441657730152736	0.995681809340043	NS or Estimate < 0.25
p53 (acetyl K373)	No vs Yes	0.583724888901807	0.0982719989095098	0.995681809340043	NS or Estimate < 0.25
