clusters_unsup_harmony,cell_ID
0,c_1_205_1339
0,c_1_205_1340
2,c_1_205_1344
0,c_1_205_1345
2,c_1_205_1346
2,c_1_205_1347
0,c_1_205_1348
3,c_1_205_1349
2,c_1_205_1351
5,c_1_205_1353
0,c_1_205_1354
0,c_1_205_1355
0,c_1_205_1356
0,c_1_205_1359
0,c_1_205_1361
10,c_1_205_1362
0,c_1_205_1364
3,c_1_205_1365
0,c_1_205_1366
2,c_1_205_1367
0,c_1_205_1368
5,c_1_205_1369
2,c_1_205_1370
10,c_1_205_1371
5,c_1_205_1373
1,c_1_205_1374
0,c_1_205_1375
0,c_1_205_1377
0,c_1_205_1378
5,c_1_205_1380
10,c_1_205_1381
2,c_1_205_1382
2,c_1_205_1383
5,c_1_205_1384
6,c_1_205_1388
0,c_1_205_1389
0,c_1_205_1390
11,c_1_205_1391
0,c_1_205_1392
0,c_1_205_1393
3,c_1_205_1394
0,c_1_205_1395
0,c_1_205_1396
0,c_1_205_1397
0,c_1_205_1398
2,c_1_205_1401
10,c_1_205_1403
0,c_1_205_1404
0,c_1_205_1406
2,c_1_205_1407
3,c_1_205_1408
0,c_1_205_1409
10,c_1_205_1410
2,c_1_205_1414
0,c_1_205_1415
2,c_1_205_1417
5,c_1_205_1418
10,c_1_205_1420
3,c_1_205_1421
2,c_1_205_1423
3,c_1_205_1424
6,c_1_205_1429
2,c_1_205_1431
0,c_1_205_1434
2,c_1_205_1437
0,c_1_205_1439
5,c_1_205_1440
5,c_1_205_1441
0,c_1_205_1442
0,c_1_205_1444
2,c_1_205_1445
0,c_1_205_1446
0,c_1_205_1447
2,c_1_205_1449
1,c_1_205_1450
0,c_1_205_1451
2,c_1_205_1452
2,c_1_205_1453
0,c_1_205_1454
2,c_1_205_1457
5,c_1_205_1458
3,c_1_205_1459
10,c_1_205_1460
5,c_1_205_1462
0,c_1_205_1464
0,c_1_205_1467
0,c_1_205_1468
0,c_1_205_1469
5,c_1_205_1471
0,c_1_205_1472
0,c_1_205_1473
1,c_1_205_1474
11,c_1_205_1476
0,c_1_205_1477
5,c_1_205_1478
0,c_1_205_1479
3,c_1_205_1480
0,c_1_205_1481
0,c_1_205_1483
0,c_1_205_1484
10,c_1_205_1486
3,c_1_205_1487
3,c_1_205_1488
10,c_1_205_1489
1,c_1_205_1491
0,c_1_205_1492
2,c_1_205_1493
10,c_1_205_1494
5,c_1_205_1495
0,c_1_205_1496
0,c_1_205_1497
2,c_1_205_1498
10,c_1_205_1499
2,c_1_205_1500
0,c_1_205_1501
0,c_1_205_1502
3,c_1_205_1503
2,c_1_205_1504
5,c_1_205_1505
0,c_1_205_1507
10,c_1_205_1509
0,c_1_205_1510
9,c_1_205_1512
2,c_1_205_1514
2,c_1_205_1516
11,c_1_205_1517
0,c_1_205_1519
5,c_1_205_1520
2,c_1_205_1521
0,c_1_205_1522
5,c_1_205_1523
0,c_1_205_1524
6,c_1_205_1525
2,c_1_205_1526
0,c_1_205_1527
11,c_1_205_1530
9,c_1_205_1531
3,c_1_205_1532
2,c_1_205_1533
2,c_1_205_1534
1,c_1_205_1536
0,c_1_205_1537
0,c_1_205_1538
6,c_1_205_1540
5,c_1_205_1541
5,c_1_205_1542
2,c_1_205_1543
17,c_1_205_1544
0,c_1_205_1545
0,c_1_205_1546
1,c_1_205_1547
5,c_1_205_1548
2,c_1_205_1550
6,c_1_205_1554
0,c_1_205_1555
2,c_1_205_1558
5,c_1_205_1559
2,c_1_205_1560
0,c_1_205_1561
0,c_1_205_1562
0,c_1_205_1565
2,c_1_205_1566
10,c_1_205_1567
2,c_1_205_1568
3,c_1_205_1570
0,c_1_205_1571
