cell_ID,best_class_tmajor,best_score_tmajor,cd8t,cd4t,celltype_thresh,celltype_granular,best_score_granular,best_score_thresh,best_class_t4minor,best_score_t4minor,cd4_naive,cd4_tem,cd4_tcm,cd4_th1,cd4_th2,cd4_th17,cd4_treg,best_class_t8minor,best_score_t8minor,cd8_naive,cd8_tem,cd8_tcm,cd8_cytotoxic,cd8_exhausted
c_1_13_854,cd8t,0.999999998428272,0.999999998428272,1.57172764310452e-09,cd8t,cd8_cytotoxic,0.704952953135024,0.999999998428272,cd4_treg,1.48434135088127e-09,1.40847207501772e-11,1.10924404795487e-12,2.23334716678926e-11,2.54481468415528e-16,2.93174221758721e-11,2.05411790998835e-11,1.48434135088127e-09,cd8_cytotoxic,0.704952953135024,0.274413092823013,0.0019229553411462,0.0182850055293102,0.704952953135024,0.000425991599778521
c_1_13_923,cd8t,0.99995576373066,0.99995576373066,4.42362693401202e-05,cd8_cytotoxic,cd8_cytotoxic,0.988786607578633,0.988786607578633,cd4_tem,1.69698711958721e-05,1.35225840395058e-06,1.69698711958721e-05,1.19476928588162e-06,1.98068021461874e-06,2.38971530638258e-06,3.38732921955164e-06,1.69616457138629e-05,cd8_cytotoxic,0.988786607578633,2.09698301260625e-05,0.0102646116831648,1.0925678496849e-05,0.988786607578633,0.000872648960239313
c_1_14_1318,cd4t,0.99779123160793,0.00220876839207063,0.99779123160793,cd4_treg,cd4_treg,0.976990015221489,0.976990015221489,cd4_treg,0.976990015221489,8.44033414708771e-07,4.70942506515826e-06,0.000149441632950745,1.15922308575043e-10,0.00093232557328965,0.0197138956057977,0.976990015221489,cd8_exhausted,0.00218688805833315,1.98747160861107e-05,1.33409937306784e-07,5.79902453745267e-07,1.29230526031348e-06,0.00218688805833315
c_1_14_135,cd8t,0.790742603764559,0.790742603764559,0.209257396235442,tmajor,cd8_tem,0.34033925479836,0.790742603764559,cd4_naive,0.185489273888346,0.185489273888346,1.80461919900318e-05,0.00276889658998687,0.0188341190911301,0.00147430101944183,1.61769946776883e-07,0.000672597684600303,cd8_tem,0.34033925479836,0.00287215233580337,0.34033925479836,0.254306679581796,0.193010565271234,0.000213951777365699
c_1_14_1357,cd8t,0.999996264540795,0.999996264540795,3.73545920534221e-06,cd8t,cd8_exhausted,0.600832033237607,0.999996264540795,cd4_treg,2.76916423164761e-06,1.49619439715231e-09,2.07520670326824e-09,1.63329976728091e-09,5.54108467751798e-10,4.62486921863212e-07,4.98049242495934e-07,2.76916423164761e-06,cd8_exhausted,0.600832033237607,2.77103906814437e-06,0.00296023185779983,2.62531645711893e-11,0.396201228380067,0.600832033237607
c_1_14_1371,cd4t,0.997651842115822,0.00234815788417769,0.997651842115822,cd4_treg,cd4_treg,0.894208936619462,0.894208936619462,cd4_treg,0.894208936619462,0.00232966777761954,4.70331408333219e-05,0.000912212671393321,1.65503648347951e-06,0.0417689077098911,0.0583834291601383,0.894208936619462,cd8_exhausted,0.00198966506482689,1.59570752665852e-07,7.41166791564711e-08,2.8103761929104e-09,0.000358256321542786,0.00198966506482689
c_1_14_1376,cd4t,0.990762011762616,0.00923798823738433,0.990762011762616,cd4_treg,cd4_treg,0.987356931445333,0.987356931445333,cd4_treg,0.987356931445333,2.33787128133497e-07,5.41566805250776e-06,0.000241276875223876,2.23899294103955e-11,0.00250425361987603,0.000653900344612773,0.987356931445333,cd8_exhausted,0.00590223854931158,0.00295195477961887,0.0001657190220628,1.69615301526886e-06,0.000216379733375802,0.00590223854931158
c_1_14_1388,cd4t,0.997029924896364,0.00297007510363557,0.997029924896364,cd4_treg,cd4_treg,0.855053528810926,0.855053528810926,cd4_treg,0.855053528810926,0.0111352483358584,1.68942209638963e-05,0.0495392554840132,0.0386467356938437,0.0144979914074795,0.0281402709432798,0.855053528810926,cd8_exhausted,0.00288953675185273,2.8455658695557e-07,9.11948462297581e-07,1.59861343270732e-08,7.93258605992571e-05,0.00288953675185273
c_1_14_1409,cd4t,0.997533392050402,0.00246660794959867,0.997533392050402,cd4_treg,cd4_treg,0.894503823407481,0.894503823407481,cd4_treg,0.894503823407481,0.000357819569600803,2.24568289268438e-07,1.15019201560854e-05,4.90164922083476e-05,0.0916520674713975,0.0109589386212679,0.894503823407481,cd8_exhausted,0.00236413917631799,2.48001411123972e-06,3.07219299125025e-09,1.47895939529624e-07,9.9837791036917e-05,0.00236413917631799
c_1_14_431,cd4t,0.997068277546738,0.00293172245326184,0.997068277546738,cd4_treg,cd4_treg,0.968286259817842,0.968286259817842,cd4_treg,0.968286259817842,2.54248762333044e-05,7.18397169542231e-05,0.000164888299608815,2.92752746904734e-09,0.0178816473776504,0.0106382145309221,0.968286259817842,cd8_exhausted,0.00259240363062293,4.43136175823958e-07,1.43671279115757e-07,1.72810390319792e-08,0.000338714734144935,0.00259240363062293
